language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
154	Tindi	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		GEN	NOM	X	GEN_NOM	The NP in the genitive displays some properties of a clause-level dependent.	ʕali-ƛa oni čečih-o ija	PN-GEN head be_sick-SEQ COP	‘Ali has a headache.’			
154	Tindi	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		*	*	*		Not included in the database because Y is expressed in a dependent clause.	ʕali q'wat'a-ƛa čečihar la boota čečih-o ija	PN street-GEN illness ADD N.come.pf(SEQ) be_sick-SEQ COP	‘Ali has the flu.’			The structure is bi-clausal, along the lines of “With the cold (“street disease”) having arrived, Ali is now sick”. ADD is an additive particle. GA: “Il y a deux propositions: b-oota est un converbe, son sujet est la maladie. Dans les langues andi-tzez (et avar), on met en général une particule additive après S/P dans la proposition au séquentiel (qui est souvent non marqué comme tel) pour souligner que c’est une “protase”, “topique”.”
154	Tindi	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		NOM	CONT	Y	NOM_CONT		ʕali ɬaw-o ija χwa-č'i	PN fear-SEQ COP dog.OBL-CONT	‘Ali is afraid of the dog.’			
154	Tindi	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		ERG	NOM	TR	TR		ʕali-ji hinc'a t'an-o	PN-ERG stone throw-AOR	‘Ali threw a stone.’			
154	Tindi	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		GEN	NOM	X	GEN_NOM	The NP in the genitive displays some properties of a clause-level dependent.	ʕali-ƛa asi buj-aan ija	PN-GEN money be_enough-IPF COP	‘Ali has enough money.’			
154	Tindi	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	AD	Y	NOM_AD	Non-verbal predicate (participle).	ʕali ħažidada-χa w-aɬ-u-w ija	PN PN-AD M-resemble-PF.PTCP-M COP	‘Ali resembles Hajidada.’			
154	Tindi	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	AFF	Y	NOM_AFF		ʕali aħmadi-ba buž-aa ija	PN PN-AFF believe-IPF COP	‘Ali believes Ahmad.’			
154	Tindi	8	take	X (take) Y	взять	X (брать) Y(-а)		ERG	NOM	TR	TR		ʕali-ji ʁoča b-aχ-o naƛu-la aχoo	PN-ERG book N-take-AOR shelf.OBL-SUPER ON.EL	‘Ali took a book from the shelf.’			
154	Tindi	9	see	X (see) Y	видеть	X (видеть) Y(-а)		AFF	NOM	X	AFF_NOM		ʕali-ba misa hanʔ-aan ija	PN-AFF house see-IPF COP	‘Ali sees a house.’			
154	Tindi	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		*	*	*		Not included in the database because the translation deviates too far from the stimulus sentence.	q'aru b-eƛ-ar hanw-ota eɬaqa b-ečuč-aa	time N-go-MSD see-CV things N-forget-IPF	‘With time passing by, one starts to forget things.’			Lit.: ‘Things get forgotten according to (< seeing) the passing of time.’
